arquivo;sol_anterior;sol_final;horario_anterior;horario_final
acianthera-aveniformis.js;Não permitido;Não permitido;;
acianthera-bragae.js;Não permitido;Não permitido;;
acianthera-glumacea.js;Somente muito suave e por curto período após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
acianthera-pubescens.js;Somente muito suave e após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
aerides-odorata.js;Sol fraco da manhã, após aclimatação;Permitido com restrição;Início da manhã;Início da manhã
anathallis-sclerophylla.js;Não permitido;Não permitido;;
arpophyllum-giganteum.js;Somente suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
aspasia-lunata.js;Apenas muito suave e após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Sim;Permitido;Até 09:00, com adaptação gradual;Até 09:00, com adaptação gradual
bifrenaria-aureofulva.js;Apenas muito suave e após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
bifrenaria-harrisoniae.js;Sim, suave e com aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
bifrenaria-verboonenii.js;Apenas muito suave e com aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
blc-chia-lin.js;Sim, suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
brassavola-perrini.js;Sim, suave;Permitido com restrição;Até aproximadamente 09:30;Até aproximadamente 09:30
brassia-lawrenceana.js;Somente sol fraco da manhã, se aclimatada;Permitido com restrição;Início da manhã;Início da manhã
bulbophyllum-ambrosia.js;Apenas luz muito suave, se houver;Permitido com restrição;;
bulbophyllum-elassonotum.js;Não permitido;Não permitido;;
bulbophyllum-falcatum.js;Não permitido;Não permitido;;
bulbophyllum-miniatum.js;Não permitido;Não permitido;;
bulbophyllum-rothschildianum.js;Apenas muito suave;Permitido com restrição;;
bulbophyllum-sikkimense.js;Não permitido;Não permitido;;
bulbophyllum-syciobulbon.js;Não permitido;Não permitido;;
camaridium-carinatum.js;Apenas muito suave, após aclimatação;Permitido com restrição;Início da manhã;Início da manhã
catasetum-mattosianum.js;Somente suave e após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-a-brazilian-dream.js;Somente suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-aclandiae-tipo.js;Tolera sol suave após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-chocolate-drop.js;Sim, suave e aclimatado;Permitido com restrição;Manhã;Manhã
cattleya-guttata-var-coerulea.js;Sim, suave e com aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-intermedia.js;Sim, suave e com aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-leopoldii-dark-princess.js;Sim, fraco e aclimatado;Permitido com restrição;Manhã;Manhã
cattleya-loddigesii.js;Apenas sol suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-lueddemanniana-tipo.js;Apenas sol suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-nobilior-var-amaliae.js;Sim, suave e aclimatado;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-pumpkin-festival.js;Somente suave;Permitido com restrição;Até aproximadamente 09:00;Até aproximadamente 09:00
cattleya-schilleriana-x-cruzeiro-do-sul.js;Sim, fraco e aclimatado;Permitido com restrição;Início da manhã;Início da manhã
cattleya-schilleriana.js;Sim, suave e aclimatado;Permitido com restrição;Até aproximadamente 09:00;Até aproximadamente 09:00
cattleya-violacea-f-flamea.js;Somente muito fraco;Permitido com restrição;Início da manhã;Início da manhã
cattleya-violacea-f-suavissima-x-self.js;Somente suave;Permitido com restrição;Manhã cedo;Manhã cedo
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Sim, com aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-walkeriana.js;Sim, suave e após aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
cattleya-warneri.js;Sim, suave e aclimatado;Permitido com restrição;Manhã;Manhã
cattlianthe-ctt-jewel-box.js;Sim, fraco e aclimatado;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
coelogyne-asperata.js;Somente muito fraco;Permitido com restrição;Início da manhã;Início da manhã
coelogyne-cristata.js;Fraco e aclimatado no inverno;Permitido com restrição;Manhã;Manhã
coelogyne-fimbriata.js;Somente muito fraco;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
coelogyne-flaccida.js;Somente muito fraco;Permitido com restrição;Início da manhã;Início da manhã
coelogyne-ovalis-var-miniatum.js;Somente muito suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
colmanara-wildcat.js;Somente muito suave;Permitido com restrição;Até cerca de 8h30;Até cerca de 8h30
cyrtopodium-podophyllum.js;Sim, após aclimatação gradual;Permitido com restrição;Manhã e parte da tarde;Manhã e parte da tarde
cyrtopodium-saintlegerianum.js;Sim, após aclimatação;Permitido com restrição;Manhã e parte da tarde;Manhã e parte da tarde
dendrobium-aggregatum.js;Somente suave;Permitido com restrição;Início da manhã;Início da manhã
dendrobium-loddigesii.js;Somente suave;Permitido com restrição;Início da manhã;Início da manhã
dendrobium-moscatum.js;Somente suave;Permitido com restrição;Início da manhã após aclimatação;Início da manhã após aclimatação
dendrobium-polysema.js;Não permitido;Não permitido;;
dendrobium-spectabile.js;Sol fraco da manhã após aclimatação;Permitido com restrição;Início da manhã;Início da manhã
dendrobium-tenellum.js;Somente muito fraco;Permitido com restrição;Início da manhã;Início da manhã
dichaea-cogniauxiana.js;Não permitido;Não permitido;;
dichaea-pendula.js;Não permitido;Não permitido;;
dryadella-aviceps.js;Não permitido;Não permitido;;
dryadella-liliputiana.js;Não permitido;Não permitido;;
encyclia-alboxanthina.js;Sol fraco da manhã após aclimatação;Permitido com restrição;Início da manhã;Início da manhã
encyclia-bracteata.js;Sim, suave;Permitido com restrição;Sol fraco da manhã;Sol fraco da manhã
encyclia-gallopavina.js;Sim, suave;Permitido com restrição;Até cerca de 09:00;Até cerca de 09:00
encyclia-mineirinha.js;Sim, suave;Permitido com restrição;Até 09:00;Até 09:00
encyclia-oncidioides.js;Sim, suave e aclimatado;Permitido com restrição;Até aproximadamente 09:00;Até aproximadamente 09:00
epicattleya-rene-marques.js;Sim;Permitido;Até 09:00;Até 09:00
epidendrum-centropetalum.js;Apenas sol fraco, se bem aclimatada;Permitido com restrição;;
eria-hyacinthoides.js;Não permitido;Não permitido;;
gomesa-recurva.js;Sim, somente suave;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
gongora-bufonia.js;Não permitido;Não permitido;;
howeara-lava-burst.js;Somente muito suave e aclimatado;Permitido com restrição;Início da manhã, se houver boa ventilação;Início da manhã, se houver boa ventilação
huntleya-meleagris.js;Não permitido;Não permitido;;
isabelia-virginalis.js;Apenas suave e aclimatado;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
isochilus-linearis.js;Somente muito suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
jacquiniella-globosa.js;Não permitido;Não permitido;;
laelia-caulencens.js;Somente suave e com aclimatação;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
laelia-cinnabarina.js;Somente suave e após aclimatação;Permitido com restrição;Bem cedo pela manhã;Bem cedo pela manhã
laelia-fournieri.js;Somente muito suave;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
laelia-gloriosa.js;Sim, quando aclimatada;Permitido com restrição;Sol suave da manhã;Sol suave da manhã
laelia-lundii-alba.js;Apenas sol muito suave e aclimatado;Permitido com restrição;Bem cedo pela manhã;Bem cedo pela manhã
laelia-lundii.js;Somente sol fraco e aclimatado;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
laelia-praestans.js;Somente muito suave e aclimatado;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
laelia-splendida.js;Aceita sol fraco da manhã após aclimatação;Permitido com restrição;Início da manhã;Início da manhã
lc-trick-or-treat.js;Somente suave e aclimatado;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
leptotes-unicolor.js;Sim, suave e aclimatado;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
lockhartia-lunifera.js;Somente muito suave, após aclimatação;Permitido com restrição;Até aproximadamente 08:00;Até aproximadamente 08:00
ludisia-discolor.js;Não permitido;Não permitido;;
maxillaria-brasiliensis.js;Somente suave, após aclimatação;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
maxillaria-chrysantha.js;Somente muito suave, após aclimatação;Permitido com restrição;Até aproximadamente 08:00;Até aproximadamente 08:00
maxillaria-leucaimata.js;Somente sol muito suave;Permitido com restrição;Início da manhã ou fim da tarde;Início da manhã ou fim da tarde
maxillaria-picta.js;Apenas sol fraco;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
maxillaria-pumila-ex-minuta.js;Somente sol muito suave;Permitido com restrição;Até cerca de 08h30;Até cerca de 08h30
maxillaria-schunkeana.js;Não permitido;Não permitido;;
maxillaria-subulata.js;Somente sol muito brando;Permitido com restrição;Primeiras horas da manhã;Primeiras horas da manhã
maxillaria-tenuifolia.js;Somente sol suave;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
mediocalcar-decoratum.js;Não permitido;Não permitido;;
miltonia-candida.js;Somente sol fraco;Permitido com restrição;Até aproximadamente 08:30 ou no fim da tarde;Até aproximadamente 08:30 ou no fim da tarde
miltonia-clowesii.js;Somente sol muito suave;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
miltonia-regnellii.js;Somente sol fraco;Permitido com restrição;Até 8h30 ou no fim da tarde;Até 8h30 ou no fim da tarde
miltonia-russelliana.js;Somente sol fraco da manhã, se aclimatada;Permitido com restrição;Início da manhã;Início da manhã
miltonia-spectabilis-var-moreliana.js;Somente sol suave;Permitido com restrição;Até aproximadamente 08:30 ou no fim da tarde;Até aproximadamente 08:30 ou no fim da tarde
neobenthamia-gracilis.js;Aceita sol suave;Permitido com restrição;Manhã até cerca de 9h;Manhã até cerca de 9h
notylia-pubescens.js;Não permitido;Não permitido;;
octomeria-diaphana.js;Não permitido;Não permitido;;
octomeria-micrantha.js;Não permitido;Não permitido;;
oncidium-pubes.js;Sol fraco tolerado;Permitido com restrição;Até cerca de 9h;Até cerca de 9h
oncidium-pumilum.js;Somente suave;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
oncidium-twinkle.js;Somente muito suave;Permitido com restrição;Até cerca de 8h;Até cerca de 8h
ornithocephalus-myrticola.js;Não permitido;Não permitido;;
ornithophora-radicans.js;Sim;Permitido;Até 08:30, com aclimatação;Até 08:30, com aclimatação
pabstiella-trifida.js;Não permitido;Não permitido;;
phaius-tankervilleae-alba.js;Apenas sol fraco;Permitido com restrição;Até cerca de 08:00;Até cerca de 08:00
phalaenopsis-mannii.js;Não permitido;Não permitido;;
phalaenopsis-pulcherrima.js;Tolera sol fraco da manhã após aclimatação;Permitido com restrição;Início da manhã;Início da manhã
pleurothallis-modestissima.js;Não permitido;Não permitido;;
promenaea-guttata.js;Não permitido;Não permitido;;
promenaea-xanthina.js;Não permitido;Não permitido;;
renanthera-coccinea.js;Sim, com aclimatação;Permitido com restrição;"Sol da manhã; plantas adaptadas toleram mais";"Sol da manhã; plantas adaptadas toleram mais"
rodricidium.js;Somente muito fraco;Permitido com restrição;Até cerca de 08:30–09:00;Até cerca de 08:30–09:00
rodriguezia-lanceolata.js;Somente suave e aclimatado;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
rodriguezia-venusta.js;Somente muito fraco e aclimatado;Permitido com restrição;Até aproximadamente 08:00;Até aproximadamente 08:00
sophronitis-cernua.js;Sim, suave e após aclimatação;Permitido com restrição;Início da manhã até 09:00 ou 10:00;Início da manhã até 09:00 ou 10:00
sophronitis-wittigiana.js;Somente muito fraco;Permitido com restrição;Antes das 08:00;Antes das 08:00
spathoglottis-plicata.js;Recomendado com aclimatação;Permitido com restrição;Preferencialmente até 10:00;Preferencialmente até 10:00
specklinia-grobyi.js;Não permitido;Não permitido;;
stanhopea-assidensis.js;Não permitido;Não permitido;;
stanhopea-guttulata.js;Somente muito fraco;Permitido com restrição;Até aproximadamente 07:30;Até aproximadamente 07:30
stanhopea-hernandezii.js;Somente extremamente fraco;Permitido com restrição;Até aproximadamente 07:30;Até aproximadamente 07:30
trichocentrum-fuscum.js;Somente suave e aclimatado;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
zygolum-louisendorf.js;Somente muito fraco;Permitido com restrição;Até aproximadamente 08:30;Até aproximadamente 08:30
zygopetalum-maculatum.js;Somente fraco;Permitido com restrição;Até aproximadamente 08:00, preferencialmente nos meses frios;Até aproximadamente 08:00, preferencialmente nos meses frios
