arquivo;genero;sol_direto;exposicao_anterior;exposicao_final;criterio
acianthera-glumacea.js;Acianthera;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
acianthera-pubescens.js;Acianthera;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
aerides-odorata.js;Aerides;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
arpophyllum-giganteum.js;Arpophyllum;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
aspasia-lunata.js;Aspasia;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Brassocattleya / Rhyncholaeliocattleya;Permitido;Até 09:00, com adaptação gradual;Início da manhã ou final da tarde;"Sol direto já classificado como permitido; recomendadas as janelas de menor carga térmica no litoral quente."
bifrenaria-aureofulva.js;Bifrenaria;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
bifrenaria-harrisoniae.js;Bifrenaria;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
bifrenaria-verboonenii.js;Bifrenaria;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
blc-chia-lin.js;Rhyncholaeliocattleya;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Evidência insuficiente para liberar sol vespertino; mantida janela conservadora."
brassavola-perrini.js;Brassavola;Permitido com restrição;Até aproximadamente 09:30;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
brassia-lawrenceana.js;Brassia;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
bulbophyllum-ambrosia.js;Bulbophyllum;Permitido com restrição;;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
bulbophyllum-rothschildianum.js;Bulbophyllum;Permitido com restrição;;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
camaridium-carinatum.js;Maxillaria;Permitido com restrição;Início da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
catasetum-mattosianum.js;Catasetum;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-a-brazilian-dream.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-aclandiae-tipo.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-chocolate-drop.js;Cattlianthe;Permitido com restrição;Manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
cattleya-guttata-var-coerulea.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-intermedia.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-leopoldii-dark-princess.js;Cattleya;Permitido com restrição;Manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-loddigesii.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-lueddemanniana-tipo.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-nobilior-var-amaliae.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-pumpkin-festival.js;Cattleya;Permitido com restrição;Até aproximadamente 09:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-schilleriana-x-cruzeiro-do-sul.js;Cattleya;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-schilleriana.js;Cattleya;Permitido com restrição;Até aproximadamente 09:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-violacea-f-flamea.js;Cattleya;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-violacea-f-suavissima-x-self.js;Cattleya;Permitido com restrição;Manhã cedo;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-walkeriana.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattleya-warneri.js;Cattleya;Permitido com restrição;Manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cattlianthe-ctt-jewel-box.js;Cattlianthe;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
coelogyne-asperata.js;Coelogyne;Permitido com restrição;Início da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
coelogyne-cristata.js;Coelogyne;Permitido com restrição;Manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
coelogyne-fimbriata.js;Coelogyne;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
coelogyne-flaccida.js;Coelogyne;Permitido com restrição;Início da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
coelogyne-ovalis-var-miniatum.js;Coelogyne;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
colmanara-wildcat.js;Oncostele;Permitido com restrição;Até cerca de 8h30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
cyrtopodium-podophyllum.js;Cyrtopodium;Permitido com restrição;Manhã e parte da tarde;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
cyrtopodium-saintlegerianum.js;Cyrtopodium;Permitido com restrição;Manhã e parte da tarde;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
dendrobium-aggregatum.js;Dendrobium;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
dendrobium-loddigesii.js;Dendrobium;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
dendrobium-moscatum.js;Dendrobium;Permitido com restrição;Início da manhã após aclimatação;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
dendrobium-spectabile.js;Dendrobium;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
