arquivo;sol_direto_anterior;horario_anterior;sol_direto_final;horario_final;acao
acianthera-aveniformis.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
acianthera-bragae.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
acianthera-glumacea.js;Somente muito suave e por curto período após aclimatação;Primeiras horas da manhã;Somente muito suave e por curto período após aclimatação;Primeiras horas da manhã;mantido
acianthera-pubescens.js;Somente muito suave e após aclimatação;Primeiras horas da manhã;Somente muito suave e após aclimatação;Primeiras horas da manhã;mantido
aerides-odorata.js;Sol fraco da manhã, após aclimatação;Luz filtrada intensa durante grande parte do dia;Sol fraco da manhã, após aclimatação;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
anathallis-sclerophylla.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
arpophyllum-giganteum.js;Somente suave;Primeiras horas da manhã;Somente suave;Primeiras horas da manhã;mantido
aspasia-lunata.js;Apenas muito suave e após aclimatação;Primeiras horas da manhã;Apenas muito suave e após aclimatação;Primeiras horas da manhã;mantido
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Sim;Até 09:00, com adaptação gradual;Sim;Até 09:00, com adaptação gradual;mantido
bifrenaria-aureofulva.js;Apenas muito suave e após aclimatação;Primeiras horas da manhã;Apenas muito suave e após aclimatação;Primeiras horas da manhã;mantido
bifrenaria-harrisoniae.js;Sim, suave e com aclimatação;Primeiras horas da manhã;Sim, suave e com aclimatação;Primeiras horas da manhã;mantido
bifrenaria-verboonenii.js;Apenas muito suave e com aclimatação;Primeiras horas da manhã;Apenas muito suave e com aclimatação;Primeiras horas da manhã;mantido
blc-chia-lin.js;Sim, suave;Primeiras horas da manhã;Sim, suave;Primeiras horas da manhã;mantido
brassavola-perrini.js;Sim, suave;Até aproximadamente 09:30;Sim, suave;Até aproximadamente 09:30;mantido
brassia-lawrenceana.js;Somente sol fraco da manhã, se aclimatada;Luz filtrada brilhante ao longo do dia;Somente sol fraco da manhã, se aclimatada;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
bulbophyllum-ambrosia.js;Apenas luz muito suave, se houver;Luz filtrada durante o dia;Apenas luz muito suave, se houver;;descrição luminosa removida do campo horário
bulbophyllum-elassonotum.js;Não necessário;Luz filtrada durante o dia;Não recomendado;;sol não recomendado → horário removido
bulbophyllum-falcatum.js;Não necessário;Luz filtrada durante o dia;Não recomendado;;sol não recomendado → horário removido
bulbophyllum-miniatum.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
bulbophyllum-rothschildianum.js;Apenas muito suave;Luz filtrada ao longo do dia;Apenas muito suave;;descrição luminosa removida do campo horário
bulbophyllum-sikkimense.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
bulbophyllum-syciobulbon.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
camaridium-carinatum.js;Apenas muito suave, após aclimatação;Início da manhã;Apenas muito suave, após aclimatação;Início da manhã;mantido
catasetum-mattosianum.js;Somente suave e após aclimatação;Primeiras horas da manhã;Somente suave e após aclimatação;Primeiras horas da manhã;mantido
cattleya-a-brazilian-dream.js;Somente suave;Primeiras horas da manhã;Somente suave;Primeiras horas da manhã;mantido
cattleya-aclandiae-tipo.js;Tolera sol suave após aclimatação;Primeiras horas da manhã;Tolera sol suave após aclimatação;Primeiras horas da manhã;mantido
cattleya-chocolate-drop.js;Sim, suave e aclimatado;Manhã;Sim, suave e aclimatado;Manhã;mantido
cattleya-guttata-var-coerulea.js;Sim, suave e com aclimatação;Primeiras horas da manhã;Sim, suave e com aclimatação;Primeiras horas da manhã;mantido
cattleya-intermedia.js;Sim, suave e com aclimatação;Primeiras horas da manhã;Sim, suave e com aclimatação;Primeiras horas da manhã;mantido
cattleya-leopoldii-dark-princess.js;Sim, fraco e aclimatado;Manhã;Sim, fraco e aclimatado;Manhã;mantido
cattleya-loddigesii.js;Apenas sol suave;Primeiras horas da manhã;Apenas sol suave;Primeiras horas da manhã;mantido
cattleya-lueddemanniana-tipo.js;Apenas sol suave;Primeiras horas da manhã;Apenas sol suave;Primeiras horas da manhã;mantido
cattleya-nobilior-var-amaliae.js;Sim, suave e aclimatado;Primeiras horas da manhã;Sim, suave e aclimatado;Primeiras horas da manhã;mantido
cattleya-pumpkin-festival.js;Somente suave;Até aproximadamente 09:00;Somente suave;Até aproximadamente 09:00;mantido
cattleya-schilleriana-x-cruzeiro-do-sul.js;Sim, fraco e aclimatado;Início da manhã;Sim, fraco e aclimatado;Início da manhã;mantido
cattleya-schilleriana.js;Sim, suave e aclimatado;Até aproximadamente 09:00;Sim, suave e aclimatado;Até aproximadamente 09:00;mantido
cattleya-violacea-f-flamea.js;Somente muito fraco;Início da manhã;Somente muito fraco;Início da manhã;mantido
cattleya-violacea-f-suavissima-x-self.js;Somente suave;Manhã cedo;Somente suave;Manhã cedo;mantido
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Sim, com aclimatação;Primeiras horas da manhã;Sim, com aclimatação;Primeiras horas da manhã;mantido
cattleya-walkeriana.js;Sim, suave e após aclimatação;Primeiras horas da manhã;Sim, suave e após aclimatação;Primeiras horas da manhã;mantido
cattleya-warneri.js;Sim, suave e aclimatado;Manhã;Sim, suave e aclimatado;Manhã;mantido
cattlianthe-ctt-jewel-box.js;Sim, fraco e aclimatado;Primeiras horas da manhã;Sim, fraco e aclimatado;Primeiras horas da manhã;mantido
coelogyne-asperata.js;Somente muito fraco;Início da manhã;Somente muito fraco;Início da manhã;mantido
coelogyne-cristata.js;Fraco e aclimatado no inverno;Manhã;Fraco e aclimatado no inverno;Manhã;mantido
coelogyne-fimbriata.js;Somente muito fraco;Primeiras horas da manhã;Somente muito fraco;Primeiras horas da manhã;mantido
coelogyne-flaccida.js;Somente muito fraco;Início da manhã;Somente muito fraco;Início da manhã;mantido
coelogyne-ovalis-var-miniatum.js;Somente muito suave;Primeiras horas da manhã;Somente muito suave;Primeiras horas da manhã;mantido
colmanara-wildcat.js;Somente muito suave;Até cerca de 8h30;Somente muito suave;Até cerca de 8h30;mantido
cyrtopodium-podophyllum.js;Sim, após aclimatação gradual;Manhã e parte da tarde;Sim, após aclimatação gradual;Manhã e parte da tarde;mantido
cyrtopodium-saintlegerianum.js;Sim, após aclimatação;Manhã e parte da tarde;Sim, após aclimatação;Manhã e parte da tarde;mantido
dendrobium-aggregatum.js;Somente suave;Início da manhã;Somente suave;Início da manhã;mantido
dendrobium-loddigesii.js;Somente suave;Início da manhã;Somente suave;Início da manhã;mantido
dendrobium-moscatum.js;Somente suave;Início da manhã após aclimatação;Somente suave;Início da manhã após aclimatação;mantido
dendrobium-polysema.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
dendrobium-spectabile.js;Sol fraco da manhã após aclimatação;Luz filtrada intensa durante grande parte do dia;Sol fraco da manhã após aclimatação;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
dendrobium-tenellum.js;Somente muito fraco;Início da manhã;Somente muito fraco;Início da manhã;mantido
dichaea-cogniauxiana.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
dichaea-pendula.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
dryadella-aviceps.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
dryadella-liliputiana.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
encyclia-alboxanthina.js;Sol fraco da manhã após aclimatação;Luz filtrada intensa ao longo do dia;Sol fraco da manhã após aclimatação;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
encyclia-bracteata.js;Sim, suave;Sol fraco da manhã;Sim, suave;Sol fraco da manhã;mantido
encyclia-gallopavina.js;Sim, suave;Até cerca de 09:00;Sim, suave;Até cerca de 09:00;mantido
encyclia-mineirinha.js;Sim, suave;Até 09:00;Sim, suave;Até 09:00;mantido
encyclia-oncidioides.js;Sim, suave e aclimatado;Até aproximadamente 09:00;Sim, suave e aclimatado;Até aproximadamente 09:00;mantido
epicattleya-rene-marques.js;Sim;Até 09:00;Sim;Até 09:00;mantido
epidendrum-centropetalum.js;Apenas sol fraco, se bem aclimatada;Luz filtrada intensa ao longo do dia;Apenas sol fraco, se bem aclimatada;;descrição luminosa removida do campo horário
eria-hyacinthoides.js;Não;Luz indireta durante todo o dia;Não;;descrição luminosa removida do campo horário
gomesa-recurva.js;Sim, somente suave;Até aproximadamente 08:30;Sim, somente suave;Até aproximadamente 08:30;mantido
gongora-bufonia.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
howeara-lava-burst.js;Somente muito suave e aclimatado;Início da manhã, se houver boa ventilação;Somente muito suave e aclimatado;Início da manhã, se houver boa ventilação;mantido
huntleya-meleagris.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
isabelia-virginalis.js;Apenas suave e aclimatado;Primeiras horas da manhã;Apenas suave e aclimatado;Primeiras horas da manhã;mantido
isochilus-linearis.js;Somente muito suave;Primeiras horas da manhã;Somente muito suave;Primeiras horas da manhã;mantido
jacquiniella-globosa.js;Não recomendado;Luz clara e filtrada;Não recomendado;;sol não recomendado → horário removido
laelia-caulencens.js;Somente suave e com aclimatação;Primeiras horas da manhã;Somente suave e com aclimatação;Primeiras horas da manhã;mantido
laelia-cinnabarina.js;Somente suave e após aclimatação;Bem cedo pela manhã;Somente suave e após aclimatação;Bem cedo pela manhã;mantido
laelia-fournieri.js;Somente muito suave;Primeiras horas da manhã;Somente muito suave;Primeiras horas da manhã;mantido
laelia-gloriosa.js;Sim, quando aclimatada;Sol suave da manhã;Sim, quando aclimatada;Sol suave da manhã;mantido
laelia-lundii-alba.js;Apenas sol muito suave e aclimatado;Bem cedo pela manhã;Apenas sol muito suave e aclimatado;Bem cedo pela manhã;mantido
laelia-lundii.js;Somente sol fraco e aclimatado;Primeiras horas da manhã;Somente sol fraco e aclimatado;Primeiras horas da manhã;mantido
laelia-praestans.js;Somente muito suave e aclimatado;Primeiras horas da manhã;Somente muito suave e aclimatado;Primeiras horas da manhã;mantido
laelia-splendida.js;Aceita sol fraco da manhã após aclimatação;Luz intensa e filtrada durante grande parte do dia;Aceita sol fraco da manhã após aclimatação;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
lc-trick-or-treat.js;Somente suave e aclimatado;Primeiras horas da manhã;Somente suave e aclimatado;Primeiras horas da manhã;mantido
leptotes-unicolor.js;Sim, suave e aclimatado;Até aproximadamente 08:30;Sim, suave e aclimatado;Até aproximadamente 08:30;mantido
lockhartia-lunifera.js;Somente muito suave, após aclimatação;Até aproximadamente 08:00;Somente muito suave, após aclimatação;Até aproximadamente 08:00;mantido
ludisia-discolor.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
maxillaria-brasiliensis.js;Somente suave, após aclimatação;Até aproximadamente 08:30;Somente suave, após aclimatação;Até aproximadamente 08:30;mantido
maxillaria-chrysantha.js;Somente muito suave, após aclimatação;Até aproximadamente 08:00;Somente muito suave, após aclimatação;Até aproximadamente 08:00;mantido
maxillaria-leucaimata.js;Somente sol muito suave;Início da manhã ou fim da tarde;Somente sol muito suave;Início da manhã ou fim da tarde;mantido
maxillaria-picta.js;Apenas sol fraco;Primeiras horas da manhã;Apenas sol fraco;Primeiras horas da manhã;mantido
maxillaria-pumila-ex-minuta.js;Somente sol muito suave;Até cerca de 08h30;Somente sol muito suave;Até cerca de 08h30;mantido
maxillaria-schunkeana.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
maxillaria-subulata.js;Somente sol muito brando;Primeiras horas da manhã;Somente sol muito brando;Primeiras horas da manhã;mantido
