RPC;Arquivos JavaScript que chamam;Arquivos SQL que definem;Quantidade de definições
admin_alterar_acesso_pin;database.js;supabase-v15-matricula-pin.sql, supabase-v29-correcao-pin-funcionario.sql;2
admin_definir_pin;database.js;supabase-rc1-correcoes-consolidadas.sql, supabase-v15-matricula-pin.sql, supabase-v29-correcao-pin-funcionario.sql;3
alterar_atividade_funcionario_admin;database.js;supabase-rc5-67-desativacao-funcionario.sql;1
analisar_ajuste_ponto;database.js;supabase-rc1-correcoes-consolidadas.sql, supabase-v18-ajustes-ponto.sql;2
analisar_movimentacao_admin;database.js;supabase-v28-movimentacoes-jornada.sql;1
arquivar_movimentacao_admin;database.js;supabase-rc4-13-regularizar-retorno.sql;1
atualizar_pendencias_jornada_admin;database.js;supabase-rc5-25-pendencia-jornada-incompleta.sql;1
atualizar_status_espelho_admin;database.js;supabase-rc5-39-controle-espelhos-assinados.sql, supabase-rc5-40-corrige-ambiguidade-espelhos.sql;2
auditar_competencia_admin;database.js;supabase-rc5-30-assistente-fechamento-mensal.sql;1
banco_horas_admin;database.js;supabase-v17-banco-horas.sql;1
criar_movimentacao_admin;database.js;supabase-v28-movimentacoes-jornada.sql;1
dados_funcionario_token;ponto-pin.js;supabase-v15-matricula-pin.sql;1
definir_pin_mestre_admin;database.js;supabase-v27-pin-mestre.sql;1
diagnostico_homologacao_admin;homologacao.js;supabase-rc2-1-diagnostico-homologacao.sql;1
excluir_feriado_empresa_admin;database.js;supabase-rc5-43-calendario-feriados.sql;1
excluir_marcacao_definitiva_admin;database.js;supabase-rc5-61-gerenciar-exclusao-marcacoes.sql;1
excluir_marcacao_logica_admin;database.js;supabase-rc5-61-gerenciar-exclusao-marcacoes.sql;1
exportar_backup_admin;backup-rc4-11.js;supabase-rc4-10-backup-seguro.sql;1
fechar_competencia_master_admin;database.js;supabase-rc5-30-assistente-fechamento-mensal.sql, supabase-v27-pin-mestre.sql;2
gerar_feriados_padrao_serra_admin;database.js;supabase-rc5-43-calendario-feriados.sql;1
horario_oficial_sistema;diagnostico.js, official-clock.js;supabase-rc5-62-tempo-oficial.sql, supabase-rc5-63-corrige-hora-oficial-funcionario.sql;2
listar_ajustes_admin;database.js;supabase-rc1-correcoes-consolidadas.sql, supabase-rc1-correcoes-consolidadas.sql, supabase-v18-ajustes-ponto.sql;3
listar_auditoria_admin;database.js;supabase-v22-auditoria-seguranca.sql;1
listar_espelhos_competencia_admin;database.js;supabase-rc5-39-controle-espelhos-assinados.sql, supabase-rc5-40-corrige-ambiguidade-espelhos.sql;2
listar_fechamentos_admin;database.js;supabase-v24-fechamento-mensal.sql;1
listar_feriados_empresa_admin;database.js;supabase-rc5-43-calendario-feriados.sql;1
listar_marcacoes_gerenciamento_admin;database.js;supabase-rc5-61-gerenciar-exclusao-marcacoes.sql;1
listar_minhas_movimentacoes;database.js;supabase-v28-movimentacoes-jornada.sql;1
listar_movimentacoes_admin;database.js;supabase-v28-movimentacoes-jornada.sql;1
listar_pendencias_jornada_admin;database.js;supabase-rc5-25-pendencia-jornada-incompleta.sql, supabase-rc5-49-corrige-pendencia-dia-atual.sql;2
listar_pendencias_retorno_admin;database.js;supabase-rc4-4-pendencias-retorno.sql;1
reabrir_competencia_master_admin;database.js;supabase-v27-pin-mestre.sql;1
registrar_evento_auditoria;auth.js, database.js;supabase-v22-auditoria-seguranca.sql;1
registrar_movimentacao_dispositivo;database.js;supabase-rc4-4-pendencias-retorno.sql, supabase-v28-movimentacoes-jornada.sql;2
regularizar_retorno_movimentacao_admin;database.js;supabase-rc4-13-regularizar-retorno.sql;1
resumo_seguranca_admin;database.js;supabase-v22-auditoria-seguranca.sql;1
salvar_feriado_empresa_admin;database.js;supabase-rc5-43-calendario-feriados.sql;1
salvar_politicas_ponto;database.js;supabase-rc4-18-intervalo-minimo-30-min.sql, supabase-v19-politicas-ponto.sql;2
sincronizar_marcacao_contingencia;offline-contingencia.js;supabase-rc5-0-contingencia-offline.sql, supabase-rc5-22-importacao-automatica-contingencia.sql;2
status_pin_mestre_admin;database.js;supabase-v27-pin-mestre.sql;1
validar_homologacao_automatica_admin;homologacao.js;supabase-rc3-validacao-automatica.sql;1
vincular_funcionario_usuario;database.js;supabase-v12-storage-acesso.sql;1
