arquivo,nome,aplicavel,GBIF_limpo,celulas_10km,conservacao,tendencia_fragmentacao,ameacas,vendedores_ativos,canais_consultados,indice_V2,estrelas_V2,confianca_V2
acianthera-aveniformis.js,Acianthera aveniformis,sim,,,,,,,,,,
acianthera-bragae.js,Acianthera bragae,sim,,,,,,,,,,
acianthera-glumacea.js,Acianthera glumacea,sim,,,,,,,,,,
acianthera-pubescens.js,Acianthera pubescens,sim,,,,,,,,,,
arpophyllum-giganteum.js,Arpophyllum giganteum,sim,,,,,,,,,,
aspasia-lunata.js,Aspasia lunata,sim,,,,,,,,,,
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js,Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah),não,,,,,,,,,,
bifrenaria-aureofulva.js,Bifrenaria aureofulva,sim,,,,,,,,,,
bifrenaria-harrisoniae.js,Bifrenaria harrisoniae,sim,,,,,,,,,,
bifrenaria-tyrianthina.js,Bifrenaria tyrianthina,sim,,,,,,,,,,
bifrenaria-verboonenii.js,Bifrenaria verboonenii,sim,,,,,,,,,,
blc-chia-lin.js,Rhyncholaeliocattleya Chia Lin,não,,,,,,,,,,
brassavola-perrini.js,Brassavola tuberculata,sim,,,,,,,,,,
brassavola-tuberculata.js,Brassavola tuberculata,sim,,,,,,,,,,
brassia-lawrenceana.js,Brassia lawrenceana,sim,,,,,,,,,,
bryobium-hyacinthoides.js,Bryobium hyacinthoides,sim,,,,,,,,,,
bulbophyllum-ambrosia.js,Bulbophyllum ambrosia,sim,,,,,,,,,,
bulbophyllum-buffo.js,Bulbophyllum falcatum var. bufo,sim,,,,,,,,,,
bulbophyllum-elassonotum.js,Bulbophyllum elassonotum,sim,,,,,,,,,,
bulbophyllum-falcatum-var-bufo.js,Bulbophyllum falcatum var. bufo,sim,,,,,,,,,,
bulbophyllum-falcatum.js,Bulbophyllum falcatum,sim,,,,,,,,,,
bulbophyllum-miniatum.js,Bulbophyllum saltatorium var. albociliatum,sim,,,,,,,,,,
bulbophyllum-rothschildianum.js,Bulbophyllum rothschildianum,sim,,,,,,,,,,
bulbophyllum-roxburghii.js,Bulbophyllum roxburghii,sim,,,,,,,,,,
bulbophyllum-saltatorium-var-albociliatum.js,Bulbophyllum saltatorium var. albociliatum,sim,,,,,,,,,,
bulbophyllum-sikkimense.js,Bulbophyllum roxburghii,sim,,,,,,,,,,
bulbophyllum-syciobulbon.js,Bulbophyllum sicyobulbon,sim,,,,,,,,,,
camaridium-carinatum.js,Maxillaria imbricata,sim,,,,,,,,,,
catasetum-mattosianum.js,Catasetum mattosianum,sim,,,,,,,,,,
cattleya-a-brazilian-dream.js,Cattleya A Brazilian Dream,não,,,,,,,,,,
cattleya-aclandiae-tipo.js,Cattleya aclandiae,sim,,,,,,,,,,
cattleya-chocolate-drop.js,Cattlianthe Chocolate Drop,não,,,,,,,,,,
cattleya-guttata-var-coerulea.js,Cattleya guttata f. coerulea,sim,,,,,,,,,,
cattleya-intermedia.js,Cattleya intermedia,sim,,,,,,,,,,
cattleya-leopoldii-dark-princess.js,Cattleya tigrina 'Dark Princess',sim,,,,,,,,,,
cattleya-loddigesii.js,Cattleya loddigesii,sim,,,,,,,,,,
cattleya-lueddemanniana-tipo.js,Cattleya lueddemanniana,sim,,,,,,,,,,
cattleya-nobilior-var-amaliae.js,Cattleya nobilior var. amaliae,sim,,,,,,,,,,
cattleya-pumpkin-festival.js,Cattleya Pumpkin Festival,não,,,,,,,,,,
cattleya-schilleriana-x-cruzeiro-do-sul.js,Cattleya schilleriana × Cruzeiro do Sul,não,,,,,,,,,,
cattleya-schilleriana.js,Cattleya schilleriana,sim,,,,,,,,,,
cattleya-violacea-f-flamea.js,Cattleya violacea f. flamea,sim,,,,,,,,,,
cattleya-violacea-f-suavissima-x-self.js,Cattleya violacea f. suavissima × self,sim,,,,,,,,,,
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js,Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema'),sim,,,,,,,,,,
cattleya-walkeriana.js,Cattleya walkeriana,sim,,,,,,,,,,
cattleya-warneri.js,Cattleya warneri,sim,,,,,,,,,,
cattlianthe-ctt-jewel-box.js,Cattlianthe Jewel Box,não,,,,,,,,,,
coelogyne-asperata.js,Coelogyne asperata,sim,,,,,,,,,,
coelogyne-cristata.js,Coelogyne cristata,sim,,,,,,,,,,
coelogyne-fimbriata.js,Coelogyne fimbriata,sim,,,,,,,,,,
coelogyne-flaccida.js,Coelogyne flaccida,sim,,,,,,,,,,
coelogyne-ovalis-var-miniatum.js,Coelogyne ovalis ‘Miniatum’,sim,,,,,,,,,,
colmanara-wildcat.js,Oncostele Wildcat,não,,,,,,,,,,
cyrtopodium-podophyllum.js,Cyrtopodium flavum,sim,,,,,,,,,,
cyrtopodium-saintlegerianum.js,Cyrtopodium saintlegerianum,sim,,,,,,,,,,
dendrobium-aggregatum.js,Dendrobium lindleyi,sim,,,,,,,,,,
dendrobium-loddigesii.js,Dendrobium loddigesii,sim,,,,,,,,,,
dendrobium-moscatum.js,Dendrobium moschatum,sim,,,,,,,,,,
dendrobium-polysema.js,Dendrobium polysema,sim,,,,,,,,,,
dendrobium-spectabile.js,Dendrobium spectabile,sim,,,,,,,,,,
dendrobium-tenellum.js,Dendrobium tenellum,sim,,,,,,,,,,
dichaea-cogniauxiana.js,Dichaea cogniauxiana,sim,,,,,,,,,,
dichaea-pendula.js,Dichaea pendula,sim,,,,,,,,,,
dryadella-aviceps.js,Dryadella aviceps,sim,,,,,,,,,,
dryadella-liliputiana.js,Dryadella lilliputiana,sim,,,,,,,,,,
encyclia-alboxanthina.js,Encyclia alboxanthina,sim,,,,,,,,,,
encyclia-bracteata.js,Encyclia bracteata,sim,,,,,,,,,,
encyclia-gallopavina.js,Encyclia gallopavina,sim,,,,,,,,,,
encyclia-mineirinha.js,Encyclia ‘Mineirinha’,não,,,,,,,,,,
encyclia-oncidioides.js,Encyclia oncidioides,sim,,,,,,,,,,
epicattleya-rene-marques.js,Epicattleya René Marqués,não,,,,,,,,,,
epidendrum-centropetalum.js,Epidendrum centropetalum,sim,,,,,,,,,,
eria-hyacinthoides.js,Bryobium hyacinthoides,sim,,,,,,,,,,
gomesa-recurva.js,Gomesa recurva,sim,,,,,,,,,,
gongora-bufonia.js,Gongora bufonia,sim,,,,,,,,,,
howeara-lava-burst.js,Leomesezia Lava Burst,não,,,,,,,,,,
huntleya-meleagris.js,Huntleya meleagris,sim,,,,,,,,,,
index.js,index,sim,,,,,,,,,,
isabelia-virginalis.js,Isabelia virginalis,sim,,,,,,,,,,
isochilus-linearis.js,Isochilus linearis,sim,,,,,,,,,,
jacquiniella-globosa.js,Jacquiniella globosa,sim,,,,,,,,,,
laelia-caulencens.js,Cattleya caulescens,sim,,,,,,,,,,
laelia-cinnabarina.js,Cattleya cinnabarina,sim,,,,,,,,,,
laelia-fournieri.js,Cattleya fournieri,sim,,,,,,,,,,
laelia-gloriosa.js,Laelia gloriosa,sim,,,,,,,,,,
laelia-lundii-alba.js,Cattleya lundii f. alba,sim,,,,,,,,,,
laelia-lundii.js,Cattleya lundii,sim,,,,,,,,,,
laelia-praestans.js,Cattleya praestans,sim,,,,,,,,,,
laelia-splendida.js,Laelia splendida,sim,,,,,,,,,,
lc-trick-or-treat.js,Cattlianthe Trick or Treat,não,,,,,,,,,,
leptotes-unicolor.js,Leptotes unicolor,sim,,,,,,,,,,
lockhartia-lunifera.js,Lockhartia lunifera,sim,,,,,,,,,,
ludisia-discolor.js,Ludisia discolor,sim,,,,,,,,,,
maxillaria-brasiliensis.js,Maxillaria brasiliensis,sim,,,,,,,,,,
maxillaria-chrysantha.js,Maxillaria chrysantha,sim,,,,,,,,,,
maxillaria-leucaimata.js,Maxillaria leucaimata,sim,,,,,,,,,,
maxillaria-picta.js,Maxillaria picta,sim,,,,,,,,,,
maxillaria-pumila-ex-minuta.js,Maxillaria pumila (ex-minuta),sim,,,,,,,,,,
maxillaria-schunkeana.js,Maxillaria schunkeana,sim,,,,,,,,,,
maxillaria-subulata.js,Maxillaria subulata,sim,,,,,,,,,,
maxillaria-tenuifolia.js,Maxillaria tenuifolia,sim,,,,,,,,,,
mediocalcar-decoratum.js,Mediocalcar decoratum,sim,,,,,,,,,,
miltonia-candida.js,Miltonia candida,sim,,,,,,,,,,
miltonia-clowesii.js,Miltonia clowesii,sim,,,,,,,,,,
miltonia-regnellii.js,Miltonia regnellii,sim,,,,,,,,,,
