IDC 2.0 — AUDITORIA DAS FICHAS ATIVAS DO CATÁLOGO

Quanto maior o índice, maior a dificuldade.
Faixas: 0–29 Fácil | 30–59 Moderada | 60–89 Difícil | 90–100 Extrema
Floração possui peso de 20%.
As notas foram recalculadas a partir das informações de cultivo já presentes nas fichas atualizadas.

Fichas ativas processadas: 130
Fácil: 38
Moderada: 85
Difícil: 7
Extrema: 0

DETALHAMENTO
 10 | Fácil    | Spathoglottis plicata | T=0 A=1 UV=1 L=1 R=1 C=0 F=0
 12 | Fácil    | Phalaenopsis pulcherrima | T=0 A=1 UV=1 L=2 R=1 C=0 F=0
 16 | Fácil    | Cattlianthe Trick or Treat | T=0 A=1 UV=2 L=2 R=1 C=1 F=0
 17 | Fácil    | Cyrtopodium flavum | T=1 A=1 UV=1 L=3 R=1 C=0 F=0
 17 | Fácil    | Renanthera coccinea | T=0 A=1 UV=1 L=3 R=1 C=0 F=1
 18 | Fácil    | Cattleya warneri | T=0 A=1 UV=1 L=2 R=1 C=1 F=1
 18 | Fácil    | Encyclia oncidioides | T=0 A=1 UV=2 L=2 R=1 C=0 F=1
 18 | Fácil    | Zygolum Louisendorf | T=1 A=1 UV=1 L=1 R=1 C=0 F=1
 19 | Fácil    | Phalaenopsis mannii | T=1 A=1 UV=1 L=3 R=1 C=1 F=0
 19 | Fácil    | Stanhopea hernandezii | T=1 A=1 UV=1 L=2 R=1 C=0 F=1
 19 | Fácil    | Trichocentrum fuscum | T=1 A=1 UV=1 L=2 R=1 C=0 F=1
 20 | Fácil    | Rodriguezia lanceolata | T=0 A=2 UV=2 L=2 R=2 C=0 F=0
 22 | Fácil    | Catasetum mattosianum | T=0 A=1 UV=1 L=2 R=3 C=0 F=1
 22 | Fácil    | Dendrobium moschatum | T=1 A=1 UV=1 L=2 R=1 C=1 F=1
 22 | Fácil    | Rodricidium (Rdcm.) | T=1 A=1 UV=2 L=2 R=1 C=0 F=1
 23 | Fácil    | Laelia gloriosa | T=0 A=1 UV=2 L=1 R=1 C=1 F=2
 24 | Fácil    | Acianthera bragae | T=1 A=3 UV=1 L=1 R=1 C=0 F=1
 24 | Fácil    | Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah) | T=1 A=1 UV=2 L=2 R=1 C=1 F=1
 24 | Fácil    | Cattleya A Brazilian Dream | T=1 A=1 UV=1 L=1 R=3 C=0 F=1
 24 | Fácil    | Cattleya Pumpkin Festival | T=0 A=1 UV=2 L=2 R=1 C=1 F=2
 24 | Fácil    | Cattleya cernua | T=1 A=1 UV=2 L=1 R=1 C=0 F=2
 24 | Fácil    | Cattleya lueddemanniana | T=1 A=1 UV=1 L=1 R=3 C=0 F=1
 24 | Fácil    | Isabelia virginalis | T=1 A=3 UV=1 L=1 R=1 C=0 F=1
 25 | Fácil    | Aerides odorata | T=0 A=1 UV=4 L=2 R=1 C=1 F=1
 25 | Fácil    | Ludisia discolor | T=0 A=2 UV=1 L=2 R=1 C=1 F=2
