arquivo,nome,tipo,raridade_anterior,indice,raridade_nova,confianca,distribuicao,ocorrencias_proxy,endemismo_habitat,hibrido
acianthera-aveniformis.js,Acianthera aveniformis,Espécie botânica — nome atualmente tratado por Kew como Pabstiella aveniformis,4,59,3,55,50,70,60,False
acianthera-bragae.js,Acianthera bragae,Espécie botânica,4,62,4,55,50,70,70,False
acianthera-glumacea.js,Acianthera glumacea,Espécie botânica,3,54,3,55,50,50,60,False
acianthera-pubescens.js,Acianthera pubescens,Espécie botânica,3,31,2,55,25,50,20,False
arpophyllum-giganteum.js,Arpophyllum giganteum,Espécie botânica — com táxons infraespecíficos reconhecidos em bases modernas,3,40,3,55,30,50,45,False
aspasia-lunata.js,Aspasia lunata,Espécie botânica,2,45,3,55,55,30,40,False
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js,Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah),Híbrido horticultural complexo,3,,3,0,,,,True
bifrenaria-aureofulva.js,Bifrenaria aureofulva,Espécie botânica,4,61,4,55,50,70,65,False
bifrenaria-harrisoniae.js,Bifrenaria harrisoniae,Espécie botânica,3,57,3,55,50,50,70,False
bifrenaria-tyrianthina.js,Bifrenaria tyrianthina,Espécie botânica brasileira — epífita ou litófita,4,85,5,55,85,70,95,False
bifrenaria-verboonenii.js,Bifrenaria verboonenii,Espécie botânica brasileira — nome histórico em sinonímia,4,73,4,55,70,70,75,False
blc-chia-lin.js,Rhyncholaeliocattleya Chia Lin,Híbrido horticultural,2,,2,0,,,,True
brassavola-perrini.js,Brassavola tuberculata,Espécie botânica,2,36,2,55,30,30,50,False
brassavola-tuberculata.js,Brassavola tuberculata,Espécie botânica epífita ou litófita,2,36,2,55,30,30,50,False
brassia-lawrenceana.js,Brassia lawrenceana,Espécie botânica epífita sul-americana,3,41,3,55,35,50,40,False
bryobium-hyacinthoides.js,Bryobium hyacinthoides,Espécie botânica epífita asiática,4,39,2,55,25,70,30,False
bulbophyllum-ambrosia.js,Bulbophyllum ambrosia,Espécie botânica epífita ou litófita asiática,3,42,3,55,30,50,50,False
bulbophyllum-buffo.js,Bulbophyllum falcatum var. bufo,Variedade botânica epífita africana,4,54,3,55,50,70,40,False
bulbophyllum-elassonotum.js,Bulbophyllum elassonotum,Espécie botânica epífita asiática,4,44,3,55,30,70,40,False
bulbophyllum-falcatum-var-bufo.js,Bulbophyllum falcatum var. bufo,Variedade botânica epífita africana,4,54,3,55,50,70,40,False
bulbophyllum-falcatum.js,Bulbophyllum falcatum,Espécie botânica epífita ou ocasionalmente litófita africana,4,58,3,55,50,70,55,False
bulbophyllum-miniatum.js,Bulbophyllum saltatorium var. albociliatum,Variedade botânica epífita africana,4,54,3,55,50,70,40,False
bulbophyllum-rothschildianum.js,Bulbophyllum rothschildianum,Espécie botânica epífita asiática,4,56,3,55,55,70,40,False
