arquivo;IDC;classificacao;cultivo;temperatura;rega;umidade;ventilacao;luminosidade;raizesSubstrato;sazonalidade;floracao
miltonia-clowesii.js;24;Fácil;4;1;1;1;1;2;2;1;1
acianthera-pubescens.js;16;Fácil;5;0;1;1;1;2;2;1;0
pleurothallis-modestissima.js;16;Fácil;5;0;1;1;1;2;2;1;0
gongora-bufonia.js;18;Fácil;5;0;1;1;1;2;2;3;0
cattleya-aclandiae-tipo.js;15;Fácil;5;0;2;2;0;0;2;1;0
mediocalcar-decoratum.js;18;Fácil;5;0;1;1;1;2;2;3;0
bulbophyllum-sikkimense.js;26;Fácil;4;1;1;1;1;2;2;3;1
cattleya-schilleriana.js;12;Fácil;5;0;1;1;0;1;2;1;0
oncidium-pumilum.js;19;Fácil;5;0;2;2;1;1;2;1;0
lc-trick-or-treat.js;17;Fácil;5;0;2;2;1;0;2;1;0
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;16;Fácil;5;0;2;2;0;0;3;0;0
laelia-lundii-alba.js;23;Fácil;4;0;2;2;1;1;3;3;0
blc-chia-lin.js;29;Fácil;4;1;2;2;1;1;2;3;1
miltonia-candida.js;16;Fácil;5;0;1;1;1;2;2;1;0
brassia-lawrenceana.js;14;Fácil;5;0;1;1;1;1;2;1;0
maxillaria-brasiliensis.js;18;Fácil;5;0;1;1;1;2;2;3;0
maxillaria-schunkeana.js;24;Fácil;4;1;1;1;1;2;2;1;1
laelia-lundii.js;23;Fácil;4;0;2;2;1;1;3;3;0
notylia-pubescens.js;24;Fácil;4;1;1;1;1;2;2;1;1
laelia-fournieri.js;19;Fácil;5;0;2;2;0;0;3;3;0
epicattleya-rene-marques.js;27;Fácil;4;1;2;2;1;1;2;1;1
rodriguezia-lanceolata.js;14;Fácil;5;0;1;1;1;1;2;1;0
laelia-splendida.js;23;Fácil;4;1;2;2;0;0;2;1;1
cattleya-lueddemanniana-tipo.js;15;Fácil;5;0;2;2;0;0;2;1;0
laelia-praestans.js;18;Fácil;5;0;1;1;1;2;2;3;0
aspasia-lunata.js;26;Fácil;4;1;1;1;1;2;2;3;1
bulbophyllum-syciobulbon.js;18;Fácil;5;0;1;1;1;2;2;3;0
cyrtopodium-podophyllum.js;15;Fácil;5;0;2;2;0;0;2;1;0
maxillaria-picta.js;16;Fácil;5;0;1;1;1;2;2;1;0
dendrobium-tenellum.js;18;Fácil;5;0;1;1;1;2;2;3;0
cattleya-warneri.js;10;Fácil;5;0;1;1;0;0;2;1;0
cattleya-loddigesii.js;14;Fácil;5;0;1;1;1;0;2;3;0
isochilus-linearis.js;18;Fácil;5;0;1;1;1;2;2;3;0
howeara-lava-burst.js;24;Fácil;4;1;1;1;1;1;2;3;1
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;27;Fácil;4;1;2;2;1;1;2;1;1
ornithocephalus-myrticola.js;13;Fácil;5;0;0;0;0;2;3;3;0
camaridium-carinatum.js;26;Fácil;4;1;1;1;1;2;2;3;1
rodriguezia-venusta.js;16;Fácil;5;0;1;1;1;1;2;3;0
cattleya-walkeriana.js;16;Fácil;5;0;2;2;0;0;3;0;0
cattleya-schilleriana-x-cruzeiro-do-sul.js;24;Fácil;4;1;1;1;1;1;2;3;1
rodricidium.js;40;Moderada;3;2;2;2;2;2;2;2;2
cattleya-nobilior-var-amaliae.js;22;Fácil;4;0;3;3;0;0;2;3;0
jacquiniella-globosa.js;18;Fácil;5;0;1;1;1;2;2;3;0
bifrenaria-verboonenii.js;20;Fácil;4;0;2;2;1;1;2;2;0
brassavola-perrini.js;16;Fácil;5;0;2;2;0;0;3;0;0
colmanara-wildcat.js;22;Fácil;4;1;1;1;1;1;2;1;1
maxillaria-leucaimata.js;29;Fácil;4;1;2;2;1;1;2;3;1
bulbophyllum-elassonotum.js;18;Fácil;5;0;1;1;1;2;2;3;0
laelia-cinnabarina.js;17;Fácil;5;0;2;2;0;0;2;3;0
cattleya-leopoldii-dark-princess.js;12;Fácil;5;0;1;1;0;0;2;3;0
encyclia-mineirinha.js;29;Fácil;4;1;2;2;1;1;2;3;1
bulbophyllum-miniatum.js;18;Fácil;5;0;1;1;1;2;2;3;0
promenaea-xanthina.js;11;Fácil;5;0;0;0;0;2;2;3;0
encyclia-oncidioides.js;17;Fácil;5;0;2;2;0;0;3;1;0
cattlianthe-ctt-jewel-box.js;19;Fácil;5;0;2;2;1;0;2;3;0
coelogyne-cristata.js;23;Fácil;4;0;2;2;1;2;2;3;0
trichocentrum-fuscum.js;26;Fácil;4;1;1;1;1;2;3;1;1
dichaea-pendula.js;13;Fácil;5;0;0;0;1;2;2;3;0
stanhopea-assidensis.js;20;Fácil;4;0;1;1;1;2;3;3;0
dendrobium-loddigesii.js;20;Fácil;4;0;2;2;1;1;2;2;0
coelogyne-flaccida.js;26;Fácil;4;1;1;1;1;2;2;3;1
oncidium-pubes.js;26;Fácil;4;1;1;1;1;2;2;3;1
huntleya-meleagris.js;11;Fácil;5;0;0;0;0;2;2;3;0
laelia-caulencens.js;17;Fácil;5;0;2;2;0;0;2;3;0
bulbophyllum-rothschildianum.js;24;Fácil;4;1;1;1;1;2;2;1;1
cattleya-violacea-f-flamea.js;13;Fácil;5;0;0;0;1;2;2;3;0
maxillaria-tenuifolia.js;23;Fácil;4;0;2;2;1;1;3;3;0
laelia-gloriosa.js;22;Fácil;4;1;1;1;1;1;2;1;1
stanhopea-hernandezii.js;18;Fácil;5;0;1;1;1;2;3;1;0
