arquivo;nome;IDC;classificacao;cultivo_estrelas;nota_temperatura;nota_rega;nota_umidade;nota_ventilacao;nota_luminosidade;nota_raizesSubstrato;nota_sazonalidade;nota_floracao
sophronitis-wittigiana.js;Cattleya wittigiana;30;Moderada;4;2;2;1;1;1;1;1;2
dendrobium-polysema.js;Dendrobium polysema;56;Difícil;2;3;3;3;2;3;2;3;3
bifrenaria-verboonenii.js;Bifrenaria verboonenii;38;Moderada;3;2;2;2;2;2;2;1;2
bifrenaria-aureofulva.js;Bifrenaria aureofulva;27;Moderada;4;2;1;1;1;1;1;1;2
sophronitis-cernua.js;Cattleya cernua;47;Moderada;3;3;2;2;2;2;2;2;3
zygolum-louisendorf.js;Zygolum Louisendorf;27;Moderada;4;2;1;1;1;1;1;1;2
dendrobium-loddigesii.js;Dendrobium loddigesii;58;Difícil;2;3;3;3;3;3;2;3;3
maxillaria-schunkeana.js;Maxillaria schunkeana;44;Moderada;3;2;2;2;2;2;2;2;3
mediocalcar-decoratum.js;Mediocalcar decoratum;52;Difícil;2;3;3;2;2;3;2;2;3
cattleya-pumpkin-festival.js;Cattleya Pumpkin Festival;20;Fácil;5;1;1;1;1;2;1;0;1
cattleya-schilleriana.js;Cattleya schilleriana;38;Moderada;3;2;2;2;2;2;2;1;2
bulbophyllum-rothschildianum.js;Bulbophyllum rothschildianum;45;Moderada;3;3;2;2;2;2;2;1;3
encyclia-mineirinha.js;Encyclia ‘Mineirinha’;42;Moderada;3;2;2;2;2;2;2;1;3
arpophyllum-giganteum.js;Arpophyllum giganteum;34;Moderada;4;2;2;2;1;2;1;1;2
oncidium-twinkle.js;Oncidium Twinkle;18;Fácil;5;1;1;1;1;1;1;0;1
dendrobium-tenellum.js;Dendrobium tenellum;52;Difícil;2;3;3;2;2;2;2;3;3
dendrobium-aggregatum.js;Dendrobium lindleyi;32;Moderada;4;1;1;1;1;1;1;3;3
dendrobium-moscatum.js;Dendrobium moschatum;35;Moderada;4;2;1;1;1;1;1;3;3
rodriguezia-venusta.js;Rodriguezia bracteata;45;Moderada;3;3;2;2;2;2;2;1;3
rodriguezia-lanceolata.js;Rodriguezia lanceolata;45;Moderada;3;3;2;2;2;2;2;1;3
oncidium-pumilum.js;Trichocentrum pumilum;36;Moderada;3;2;2;2;2;2;1;1;2
eria-hyacinthoides.js;Bryobium hyacinthoides;45;Moderada;3;3;2;2;2;2;2;1;3
renanthera-coccinea.js;Renanthera coccinea;42;Moderada;3;2;2;2;2;2;2;1;3
spathoglottis-plicata.js;Spathoglottis plicata;20;Fácil;5;1;1;1;1;1;0;0;2
cyrtopodium-podophyllum.js;Cyrtopodium flavum;32;Moderada;4;2;2;1;1;2;1;1;2
acianthera-glumacea.js;Acianthera glumacea;52;Difícil;2;3;3;2;2;3;2;2;3
miltonia-clowesii.js;Miltonia clowesii;47;Moderada;3;3;2;2;2;2;2;2;3
gomesa-recurva.js;Gomesa recurva;47;Moderada;3;3;2;2;2;2;2;2;3
maxillaria-subulata.js;Maxillaria subulata;45;Moderada;3;3;2;2;2;2;2;1;3
maxillaria-tenuifolia.js;Maxillaria tenuifolia;22;Fácil;5;1;1;1;1;1;1;0;2
colmanara-wildcat.js;Oncostele Wildcat;30;Moderada;4;2;2;1;1;1;1;1;2
brassavola-perrini.js;Brassavola tuberculata;24;Fácil;5;1;1;1;1;1;1;1;2
ornithophora-radicans.js;Gomesa radicans;38;Moderada;3;2;2;2;2;2;2;1;2
coelogyne-ovalis-var-miniatum.js;Coelogyne ovalis ‘Miniatum’;52;Difícil;2;3;3;2;2;3;2;2;3
coelogyne-cristata.js;Coelogyne cristata;65;Difícil;2;5;2;2;2;2;2;4;5
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah);20;Fácil;5;1;1;1;1;1;1;1;1
cattleya-schilleriana-x-cruzeiro-do-sul.js;Cattleya schilleriana × Cruzeiro do Sul;38;Moderada;3;2;2;2;2;2;2;1;2
lc-trick-or-treat.js;Cattlianthe Trick or Treat;20;Fácil;5;1;1;1;1;1;0;0;2
acianthera-aveniformis.js;Acianthera aveniformis;29;Moderada;4;1;2;2;2;1;2;1;1
dryadella-aviceps.js;Dryadella aviceps;36;Moderada;3;2;2;2;2;1;2;1;2
specklinia-grobyi.js;Specklinia grobyi;30;Moderada;4;2;2;1;1;1;1;1;2
dryadella-liliputiana.js;Dryadella lilliputiana;52;Difícil;2;3;3;2;2;3;2;2;3
leptotes-unicolor.js;Leptotes unicolor;38;Moderada;3;2;2;2;2;2;2;1;2
cattleya-aclandiae-tipo.js;Cattleya aclandiae;32;Moderada;4;2;2;1;1;2;1;1;2
cattleya-lueddemanniana-tipo.js;Cattleya lueddemanniana;36;Moderada;3;2;2;2;2;2;1;1;2
cattleya-walkeriana.js;Cattleya walkeriana;42;Moderada;3;2;2;2;2;2;2;1;3
cattleya-intermedia.js;Cattleya intermedia;24;Fácil;5;1;1;1;1;2;1;0;2
cattleya-leopoldii-dark-princess.js;Cattleya tigrina 'Dark Princess';34;Moderada;4;2;2;2;1;2;1;1;2
laelia-fournieri.js;Cattleya fournieri;54;Difícil;2;3;3;3;2;3;2;2;3
lockhartia-lunifera.js;Lockhartia lunifera;38;Moderada;3;2;2;2;2;2;2;1;2
jacquiniella-globosa.js;Jacquiniella globosa;54;Difícil;2;3;3;3;2;3;2;2;3
camaridium-carinatum.js;Maxillaria imbricata;30;Moderada;4;2;2;1;1;1;1;1;2
acianthera-pubescens.js;Acianthera pubescens;29;Moderada;4;1;2;2;2;1;2;1;1
maxillaria-leucaimata.js;Maxillaria leucaimata;40;Moderada;3;2;2;2;2;2;1;1;3
coelogyne-asperata.js;Coelogyne asperata;45;Moderada;3;3;2;2;2;2;2;1;3
coelogyne-flaccida.js;Coelogyne flaccida;30;Moderada;4;2;2;1;1;1;1;1;2
howeara-lava-burst.js;Leomesezia Lava Burst;30;Moderada;4;2;2;1;1;1;1;1;2
epicattleya-rene-marques.js;Epicattleya René Marqués;44;Moderada;3;2;2;2;2;2;2;2;3
coelogyne-fimbriata.js;Coelogyne fimbriata;47;Moderada;3;3;2;2;2;2;2;2;3
maxillaria-picta.js;Maxillaria picta;42;Moderada;3;2;2;2;2;2;2;1;3
maxillaria-chrysantha.js;Maxillaria chrysantha;52;Difícil;2;3;3;2;2;3;2;2;3
miltonia-regnellii.js;Miltonia regnellii;30;Moderada;4;2;2;1;1;1;1;1;2
neobenthamia-gracilis.js;Polystachya neobenthamia;54;Difícil;2;3;3;2;2;2;2;2;4
aspasia-lunata.js;Aspasia lunata;36;Moderada;3;2;2;2;2;2;1;1;2
cyrtopodium-saintlegerianum.js;Cyrtopodium saintlegerianum;32;Moderada;4;2;2;1;1;2;1;1;2
cattleya-warneri.js;Cattleya warneri;44;Moderada;3;2;2;2;2;2;2;2;3
bulbophyllum-elassonotum.js;Bulbophyllum elassonotum;42;Moderada;3;2;2;2;2;2;2;1;3
bulbophyllum-miniatum.js;Bulbophyllum saltatorium var. albociliatum;45;Moderada;3;3;2;2;2;2;2;1;3
bulbophyllum-sikkimense.js;Bulbophyllum roxburghii;47;Moderada;3;3;2;2;2;2;2;2;3
cattlianthe-ctt-jewel-box.js;Cattlianthe Jewel Box;45;Moderada;3;3;2;2;2;2;2;1;3
cattleya-loddigesii.js;Cattleya loddigesii;54;Difícil;2;3;3;3;2;3;2;2;3
laelia-cinnabarina.js;Cattleya cinnabarina;54;Difícil;2;3;3;3;2;3;2;2;3
laelia-lundii.js;Cattleya lundii;36;Moderada;3;2;2;2;2;2;1;1;2
catasetum-mattosianum.js;Catasetum mattosianum;58;Difícil;2;3;3;2;2;2;2;4;4
laelia-gloriosa.js;Laelia gloriosa;34;Moderada;4;2;2;2;1;2;1;1;2
encyclia-bracteata.js;Encyclia bracteata;40;Moderada;3;2;2;2;2;2;2;2;2
