arquivo;nome;origem_anterior;origem_final;regiao_anterior;regiao_final;alterado
sophronitis-wittigiana.js;Cattleya wittigiana;Brasil · Minas Gerais e Espírito Santo.;Brasil;Serras úmidas do Sudeste brasileiro.;Serras úmidas do Sudeste brasileiro;sim
dendrobium-polysema.js;Dendrobium polysema;Nova Guiné.;Nova Guiné;Florestas montanas da Nova Guiné.;Nova Guiné · florestas montanas;sim
bifrenaria-verboonenii.js;Bifrenaria verboonenii;Brasil;Brasil;BA · ES · MG;BA · ES · MG;não
bifrenaria-aureofulva.js;Bifrenaria aureofulva;Brasil.;Brasil;Leste e Sul do Brasil · Mata Atlântica.;Leste e Sul do Brasil · Mata Atlântica;sim
sophronitis-cernua.js;Cattleya cernua;Brasil ao nordeste da Argentina.;Brasil ao nordeste da Argentina;Brasil, Paraguai e nordeste da Argentina.;Brasil, Paraguai e nordeste da Argentina;sim
zygolum-louisendorf.js;Zygolum Louisendorf;Híbrido hortícola (2004).;Híbrido horticultural;Sem distribuição natural.;Sem distribuição natural · grex registrado em 2004;sim
dendrobium-loddigesii.js;Dendrobium loddigesii;Sul da China e Indochina.;Sul da China e Indochina;China meridional à Indochina.;Sul da China · Indochina;sim
maxillaria-schunkeana.js;Maxillaria schunkeana;Espírito Santo, Brasil.;Brasil;Mata Atlântica capixaba.;Mata Atlântica capixaba;sim
mediocalcar-decoratum.js;Mediocalcar decoratum;Nova Guiné.;Nova Guiné;Montanhas da Nova Guiné.;Nova Guiné · regiões montanas;sim
cattleya-pumpkin-festival.js;Cattleya Pumpkin Festival;Híbrido horticultural.;Híbrido horticultural;Sem distribuição natural.;Sem distribuição natural · híbrido horticultural;sim
cattleya-schilleriana.js;Cattleya schilleriana;Brasil · endêmica.;Brasil;Leste da Bahia ao Espírito Santo.;Leste da Bahia ao Espírito Santo;sim
bulbophyllum-rothschildianum.js;Bulbophyllum rothschildianum;Himalaia Oriental e S da China.;Himalaia Oriental e sul da China;Assam · E Himalaia · S Yunnan · N Myanmar.;Assam · Himalaia Oriental · sul de Yunnan · norte de Myanmar;sim
encyclia-mineirinha.js;Encyclia ‘Mineirinha’;Híbrido brasileiro.;Híbrido horticultural;Parentais brasileiros · E. patens × E. oliveirana.;Sem distribuição natural · E. patens × E. oliveirana · parentais brasileiros;sim
arpophyllum-giganteum.js;Arpophyllum giganteum;México até o noroeste da Venezuela, incluindo América Central, Colômbia e Jamaica.;América Tropical;México, Guatemala, Belize, El Salvador, Honduras, Nicarágua, Costa Rica, Jamaica, Colômbia e noroeste da Venezuela.;México · Guatemala · Belize · El Salvador · Honduras · Nicarágua · Costa Rica · Jamaica · Colômbia · Venezuela;sim
oncidium-twinkle.js;Oncidium Twinkle;Híbrido horticultural.;Híbrido horticultural;Grex registrado em 1958.;Sem distribuição natural · grex registrado em 1958;sim
dendrobium-tenellum.js;Dendrobium tenellum;Java, Indonésia.;Indonésia;Montanhas de Java · 1.500–2.200 m.;Java · 1.500–2.200 m;sim
dendrobium-aggregatum.js;Dendrobium lindleyi;Himalaia oriental ao Sudeste Asiático.;Himalaia e Sudeste Asiático;NE da Índia, sul da China e Indochina.;NE da Índia · sul da China · Indochina;sim
dendrobium-moscatum.js;Dendrobium moschatum;Himalaia ao sul da China e Indochina.;Himalaia e Sudeste Asiático;Sul da Ásia e Indochina.;Sul da Ásia · Indochina;sim
rodriguezia-venusta.js;Rodriguezia bracteata;América do Sul tropical.;América do Sul tropical;Norte e leste da América do Sul, incluindo o Brasil.;Norte e leste da América do Sul, incluindo o Brasil;sim
rodriguezia-lanceolata.js;Rodriguezia lanceolata;América tropical.;América Tropical;Panamá e Caribe ao norte da América do Sul e Brasil.;Panamá · Caribe · norte da América do Sul · Brasil;sim
oncidium-pumilum.js;Trichocentrum pumilum;América do Sul.;América do Sul;Brasil ao NE da Argentina.;Brasil ao NE da Argentina;sim
eria-hyacinthoides.js;Bryobium hyacinthoides;Sudeste Asiático.;Sudeste Asiático;Tailândia à Malesia ocidental e meridional.;Tailândia à Malesia ocidental e meridional;sim
renanthera-coccinea.js;Renanthera coccinea;Sul da China à Indochina.;Sul da China e Indochina;China meridional · Myanmar · Laos · Vietnã · Tailândia.;Sul da China · Myanmar · Laos · Vietnã · Tailândia;sim
spathoglottis-plicata.js;Spathoglottis plicata;Ásia tropical e subtropical ao Pacífico.;Ásia-Pacífico tropical;Sul/Sudeste da Ásia, Malesia, Austrália e ilhas do Pacífico.;Sul e Sudeste da Ásia · Malesia · Austrália · ilhas do Pacífico;sim
cyrtopodium-podophyllum.js;Cyrtopodium flavum;Bolívia oriental e Brasil.;América do Sul;"NE, Sudeste e Sul do Brasil; leste da Bolívia.";Brasil (NE, Sudeste e Sul) · leste da Bolívia;sim
acianthera-glumacea.js;Acianthera glumacea;Brasil — regiões Sudeste e Sul.;Brasil;Mata Atlântica serrana do Sudeste e Sul do Brasil.;Mata Atlântica serrana do Sudeste e Sul do Brasil;sim
miltonia-clowesii.js;Miltonia clowesii;Brasil.;Brasil;Sudeste brasileiro.;Sudeste brasileiro;sim
gomesa-recurva.js;Gomesa recurva;Leste do Brasil ao NE da Argentina.;América do Sul;ES ao Sul do Brasil · Paraguai · Misiones.;ES ao Sul do Brasil · Paraguai · Argentina (Misiones);sim
maxillaria-subulata.js;Maxillaria subulata;Brasil · sudeste da Bahia a Santa Catarina.;Brasil;Mata Atlântica · Bahia ao Sul.;Mata Atlântica · Bahia ao Sul;sim
maxillaria-tenuifolia.js;Maxillaria tenuifolia;México à América Central.;México e América Central;México, Guatemala à Costa Rica.;México · Guatemala · Belize · El Salvador · Honduras · Nicarágua · Costa Rica;sim
colmanara-wildcat.js;Oncostele Wildcat;Híbrido horticultural.;Híbrido horticultural;Sem ocorrência natural.;Sem ocorrência natural;sim
brassavola-perrini.js;Brassavola tuberculata;América do Sul;América do Sul;Bolívia · Paraguai · Brasil · NE Argentina;Bolívia · Paraguai · Brasil · NE Argentina;não
ornithophora-radicans.js;Gomesa radicans;Brasil.;Brasil;Sul e Sudeste do Brasil.;Sul e Sudeste do Brasil;sim
coelogyne-ovalis-var-miniatum.js;Coelogyne ovalis ‘Miniatum’;Himalaia ao Sudeste Asiático.;Himalaia e Sudeste Asiático;Nepal, NE da Índia, sul da China e Indochina.;Nepal · NE da Índia · sul da China · Indochina;sim
coelogyne-cristata.js;Coelogyne cristata;Himalaia.;Himalaia;Nepal, Índia, Tibet e Bangladesh.;Nepal · Índia · Tibete · Bangladesh;sim
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah);Híbrido horticultural.;Híbrido horticultural;Cultivo humano · sem distribuição natural.;Sem distribuição natural · híbrido complexo da aliança Cattleya;sim
cattleya-schilleriana-x-cruzeiro-do-sul.js;Cattleya schilleriana × Cruzeiro do Sul;Híbrido horticultural brasileiro.;Híbrido horticultural;Sem distribuição natural.;Sem distribuição natural · híbrido de cultivo brasileiro;sim
lc-trick-or-treat.js;Cattlianthe Trick or Treat;Híbrido hortícola · registrado em 1973.;Híbrido horticultural;Origem de cultivo · amplamente cultivado.;Sem distribuição natural · grex registrado em 1973;sim
acianthera-aveniformis.js;Acianthera aveniformis;Brasil — Sul do país.;Brasil;Mata Atlântica do Sul do Brasil, em ambientes florestais úmidos.;Mata Atlântica do Sul do Brasil, em ambientes florestais úmidos;sim
dryadella-aviceps.js;Dryadella aviceps;Brasil e Paraguai.;América do Sul;Leste/Sul do Brasil · Paraguai.;Leste e Sul do Brasil · Paraguai;sim
specklinia-grobyi.js;Specklinia grobyi;Sul do México à América do Sul tropical.;América Tropical;México, América Central e ampla faixa da América do Sul.;México · América Central · América do Sul tropical;sim
dryadella-liliputiana.js;Dryadella lilliputiana;Brasil e Bolívia.;Brasil e Bolívia;Sul/Sudeste do Brasil · Bolívia.;Sul/Sudeste do Brasil · Bolívia;sim
leptotes-unicolor.js;Leptotes unicolor;Sul da América do Sul.;América do Sul;Brasil e Argentina.;Brasil · Argentina;sim
cattleya-aclandiae-tipo.js;Cattleya aclandiae;Brasil.;Brasil;Bahia · endêmica.;Bahia · endêmica;sim
cattleya-lueddemanniana-tipo.js;Cattleya lueddemanniana;Norte da Venezuela.;Venezuela;Cordilheira da Costa venezuelana.;Cordilheira da Costa · norte da Venezuela;sim
