arquivo;nome;confianca;iar_litoral;estrelas_litoral;H_litoral;T_litoral;A_litoral;V_litoral;L_litoral;S_litoral;F_litoral;iar_montanha;estrelas_montanha;H_montanha;T_montanha;A_montanha;V_montanha;L_montanha;S_montanha;F_montanha;status_taxonomico;fontes
sophronitis-wittigiana.js;Cattleya wittigiana;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dendrobium-polysema.js;Dendrobium polysema;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bifrenaria-verboonenii.js;Bifrenaria verboonenii;media;50;3;2;2;3;4;4;3;3;96;5;5;5;4;4;4;4;5;"Nome mantido no catálogo por decisão editorial; POWO adota Bifrenaria tyrianthina.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bifrenaria-aureofulva.js;Bifrenaria aureofulva;alta;80;4;4;4;4;4;4;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
sophronitis-cernua.js;Cattleya cernua;alta;96;5;5;5;4;4;4;4;5;52;3;2;2;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
zygolum-louisendorf.js;Zygolum Louisendorf;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
dendrobium-loddigesii.js;Dendrobium loddigesii;alta;45;3;2;2;3;4;4;2;2;97;5;5;5;4;4;4;5;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-schunkeana.js;Maxillaria schunkeana;alta;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
mediocalcar-decoratum.js;Mediocalcar decoratum;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-pumpkin-festival.js;Cattleya Pumpkin Festival;media;79;4;4;4;3;4;4;4;4;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
cattleya-schilleriana.js;Cattleya schilleriana;alta;97;5;5;5;4;5;4;4;5;68;4;3;3;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bulbophyllum-rothschildianum.js;Bulbophyllum rothschildianum;media;63;4;3;3;4;4;3;4;3;79;4;4;4;4;4;3;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
encyclia-mineirinha.js;Encyclia ‘Mineirinha’;media;73;4;3;4;3;4;4;4;4;79;4;4;4;3;4;4;4;4;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
arpophyllum-giganteum.js;Arpophyllum giganteum;alta;64;4;3;3;4;4;4;4;3;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
